CARRIER,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,163096.28,50626.79,50855.35,155023.90,159857.63,159838.65,154614.69,154155.14,162388.83,196568.40,195406.09
Allegiant,65419.38,83839.40,89397.65,87992.69,98890.68,101329.96,103746.59,116721.28,156930.84,182122.96,163672.49
American,137481.71,139872.20,139963.13,140688.90,147311.79,151558.29,206243.94,214548.81,236233.37,229890.50,238695.33
Delta,132373.65,142801.42,149925.20,158227.32,181804.21,193555.07,195378.62,228112.26,223849.30,230669.47,251842.02
Frontier,96118.71,101125.80,113250.24,116121.79,114868.28,125811.38,160260.15,151024.78,144333.87,212074.23,186440.84
Hawaiian,117351.14,120096.58,117353.73,119225.27,134666.66,145433.76,149362.24,141059.19,172163.35,187487.11,186249.10
JetBlue,124679.86,140545.97,139744.40,139686.61,147108.76,148427.52,149341.21,154501.79,173229.94,188035.66,217230.46
Southwest,176977.25,192289.00,203195.56,187550.64,194598.14,197781.78,230625.59,244437.01,241610.28,239970.92,245344.50
Spirit,109932.00,113327.02,113940.77,116275.76,107930.93,109421.58,113086.00,120251.46,99912.83,132720.43,161315.54
United,125464.61,124227.78,125690.37,135004.18,164580.60,185430.44,185101.95,214089.66,240513.77,250319.01,257375.68